title|year|Abstract|Keywords|Keywords-Plus|Web-of-Science-Categories|Times-Cited|Usage-Count-Last-180-days|Usage-Count-Since-2013
An intercultural analysis of metadiscourse features in research articles written in English and in Spanish|2011|In the last few decades the interpersonal nature of academic communication has been stressed in English for Academic Purposes literature. Taking metadiscourse as the analytical framework, this paper focuses on the cross-cultural analysis of interpersonally driven features in research article writing in a single discipline, Business Management. It aims at analysing to what extent the different contexts (i.e. the US international and the Spanish national) influence the strategic use of metadiscourse features in this discipline. The analysis is based on a corpus of 24 research articles from this discipline: 12 of them written in English by scholars based at North-American institutions and published in international journals, and another 12 written in Spanish by Spanish scholars and published in national journals. Significant differences are reported on the overall frequency of metadiscourse features as well as on the particular incidence of some categories in the two sub-corpora. The particular linguistic/cultural contexts of publication seem to influence scholars' rhetorical choices when writing their research articles. New knowledge appears to be interpersonally negotiated in different terms in research articles in the two cultural contexts within this disciplinary domain. (C) 2011 Elsevier B.V. All rights reserved.|Academic discourse; Genre writing; English for Academic Purposes; Intercultural rhetoric; Interpersonality; Metadiscourse|MANAGEMENT; ABSTRACTS; CRITICISM; TEXTS|Linguistics; Language \& Linguistics|23|1|27
Construction and analysis of educational assessments using knowledge maps with weight appraisal of concepts|2010|The rapid advance of information and communication technologies (ICT) has important impacts on teaching and learning, as well as on the educational assessment. Teachers may create assessments utilizing some developed assessment software or test authoring tools. However, problems could occur, such as neglecting key concepts in the curriculum or having disproportionate course topics distribution, when teachers create assessments or test items. This study proposes a novel approach, which uses knowledge map with appraisal of concept weights and other ICTs, and implements an assessment system KMAAS to help primary school teachers in Taiwan, or elsewhere, create educational assessments properly. When compiling an assessment, KMAAS ensures that teachers can include all important course concepts intended for assessing and maintain correct balance between course concepts among test items. It does so first by analyzing course material of the assessment range and displaying a concept-weight-annotated knowledge map which concretize and visualize the importance of and the relationships among concepts in the range. It then analyzes the test sheet which is being complied and displays another similar real-time updated knowledge map containing balance between course concepts among the test items. Teachers may cross-refer to these maps to help them adjust concept balances and even select appropriate test items from test banks. The system has being evaluated in both the accuracy of learning concepts extraction and the degree of user satisfaction, as measured by questionnaires given to the teachers who tested the system. The promising results confirm the feasibility of this system in helping teachers compile their educational assessments easily and precisely. Other results of the formative evaluations on techniques have being used to improve the system in order to make it more effective and efficient. The methodology and technologies KMAAS employed are all well developed and are domain independent, which makes it highly flexible to transfer to other course subject domain too. (C) 2010 Elsevier Ltd. All rights reserved.|Applications in subject areas; Architectures for educational technology system; Elementary education; Human-computer interface; Improving classroom teaching|TECHNOLOGY ACCEPTANCE MODEL; MULTIPLE ASSESSMENT CRITERIA; TEACHERS; TEXT; MANAGEMENT; DIAGNOSIS; SYSTEM; TESTS|Computer Science, Interdisciplinary Applications; Education \& Educational Research|10|4|27
Computer-supported portfolio analysis and comparison using ontology-based patent classification mapping scheme: the case of mobile communication patent pools|2017|Mobile communication patents must conform to LTE-Advanced (called fourth generation or 4G) specifications to be categorized as LTE-A standard essential patents (SEPs). Global LTE-A patent pools, such as Sisvel and Via Licensing, collect SEPs from patent assignees, facilitate the SEP licensing processes, and provide fast-forward technical solutions to licensees. This research develops a computer-supported ontology-based patent classification (ontology-IPC) mapping scheme. Two major LTE-A patent pools (Sisvel and Via Licensing) and a national research project pool provide the case study. The research methodology defines the patent pool profiles using visualization maps for collaborative SEPs licensing and provides critical data to avoid re-inventing technologies and infringing upon existing intellectual property. The research enables mobile network and device developers to work cooperatively to develop fast, dependable, and interoperable products and services. The ontology-IPC analysis of the data demonstrates the approach's versatile application to support national project research reviews.|LTE-advanced; Patent pool; International Patent Classification (IPC); Text mining; Ontology|DESIGN; TECHNOLOGY; EVOLUTION; NETWORK; LTE|Computer Science, Information Systems; Computer Science, Theory \& Methods|0|17|26
The implementation of task-based teaching in an online Chinese class through web conferencing|2016|From both interactionist and sociocultural perspectives on second language acquisition (SLA), learner-learner interactions provide opportunities for negotiation of meaning, which may facilitate their second language learning. There is yet a paucity of studies on learners' multimodal interaction and collaborative language learning investigating the effect of task design in web conferencing-based environments. This empirical research has a dual aim: 1) to explore how the teacher and learners use multiple modes (video, audio, text chat, voting, raised-hand function, emotions and whiteboard) to make meaning in a web conferencing environment, and 2) to examine whether learners engage in negotiation of meaning in the completion of tasks in the web conferencing environment. In this study, a group of elementary level Chinese students conducted two online sessions one jigsaw task and one information-gap task-delivered by a web conferencing platform (Blackboard Collaborate). A mixed methods approach was adopted in that a) the teacher's and learners' multimodal interactions were recorded and analysed quantitatively in order to illustrate participation patterns, b) Varonis and Gass's (1985) model was used to identify instances of negotiation of meaning in learner-learner interactions through an interpretive analysis of the data. (C) 2016 Elsevier Ltd. All rights reserved.|Web conferencing; Task-based language teaching; Computer-mediated communication; Online Chinese teaching; Multimodality|COMPUTER-ASSISTED CLASSROOM; LANGUAGE CLASSROOM; CONVERSATION; NEGOTIATION; DESIGN; MODEL|Education \& Educational Research; Linguistics|1|7|26
A corpus-aided approach for the teaching and learning of rhetoric in an undergraduate composition course for L2 writers|2016|This paper illustrates a corpus-aided approach for the teaching and learning of rhetoric in an undergraduate writing course for second language writers. The twenty-one international students in the course read and analyzed texts produced by a local environmental group and an international mining company regarding a proposed copper mine in the U.S. southwest. The textual analysis was enhanced and supplemented by a series of activities using corpus data derived from collections of texts from the opposing groups. The contrastive analyses made possible through the study of texts and corpus data from the sharply distinct groups enabled students to notice, analyze, interpret, and discuss the meaningful and purposeful linguistic and rhetorical variation present in the texts, the corpus data, and the debate. This implementation of localized, specialized corpora comprised of texts with immediate relevance to the students' campus and community provides a means to incorporate corpus study in the writing classroom from a rhetorical perspective. This article details the principles guiding the design of the approach, explains the corpus-aided activities, reports students' attitudes to the use of corpus data in their academic writing classroom, and offers suggestions for implementing similar activities in L2 writing classrooms. (C) 2015 Elsevier Ltd. All rights reserved.|Corpus-aided pedagogy; L2 writing; EAP; Rhetorical awareness|GENRE ANALYSIS; LANGUAGE; CONSULTATION; LINGUISTICS; STUDENT; MOVES|Education \& Educational Research; Linguistics; Language \& Linguistics|4|4|26
Phraseology used to comment on results in the Discussion section of applied linguistics quantitative research articles|2015|This paper presents word clusters used to comment on results in the Discussion section of quantitative research articles in the field of applied linguistics. The corpus linguistic approach was adopted to identify clusters in 124 Discussion texts from leading applied linguistics journals. The identified clusters were then comprehensively analysed in context for their discourse functions. Next, the present study mapped the clusters onto an analytical framework termed the `four-Step model', based on Yang and Allison's (2003) genre-based description of the Commenting on results Move. The study provided a detailed corpus linguistic account of how the clusters were used in specific Steps described in the model. A detailed description of the linguistic features, the internal structure (Move/Step cycles and embedding) and communicative functions of specific Steps in the Commenting on results Move were also presented based on the concordance analysis of the clusters. The findings further suggest that the Use of specific clusters strongly manifests, and is conditioned by, the research article genre. The study has pedagogical implications for academic writing courses for students, especially for those from non-English language backgrounds. (C) 2015 Elsevier Ltd. All rights reserved.|Genre-specific corpus; Corpus linguistic analysis; Research article Discussion section; Phraseology; Cluster; Academic writing|GENRE; MOVES|Linguistics|2|3|26
Does writing development equal writing quality? A computational investigation of syntactic complexity in L2 learners|2014|This study examines second language (L2) syntactic development in conjunction with the effects such development has on human judgments of writing quality (i.e., judgments of both overall writing proficiency and more fine-grained judgments of syntactic proficiency). Essays collected from 57 L2 learners in a longitudinal study were analyzed for growth and scoring patterns using syntactic complexity indices calculated by the computational tool Coh-Metrix. The analyses demonstrate that significant growth in syntactic complexity occurred in the L2 writers as a function of time spent studying English. However, only one of the syntactic feattires that demonstrated growth in the L2 learners was also predictive of human judgments of L2 writing quality. Interpretation of the findings suggest that over the course of a semester, L2 writers produced texts that were increasingly aligned with academic writing (i.e., texts that contain more nouns and phrasal complexity), but that human raters assessed text quality based on structures aligned with spoken discourse (i.e., clausal complexity). Thus, this study finds that the syntactic features that develop in L2 learners may not be the same syntactic features that will assist them in receiving higher evaluations of essay quality. (C) 2014 Elsevier Inc. All rights reserved.|Computational linguistics; L2 writing; Writing development; Writing quality; Syntactic complexity|LANGUAGE; PROFICIENCY; LEVEL; COHESION; STUDENTS; FEATURES; INDEXES; SPOKEN; TEXT|Linguistics|17|4|26
Pragmatic uses of person pro-forms in intercultural financial discourse: A contrastive case study of earnings calls|2014|The important role of person pro-forms in establishing interpersonal relations has long been recognized. During interaction, person pro-forms act as indexicals whose referents are determined by the context in which they are used. This study focuses on the pragmatic functions of first and second-person proforms in earnings calls, now the primary channel for oral financial reporting in the corporate world. Earnings calls consist of presentations by company executives followed by question-and-answer sessions with financial analysts who participate via teleconferencing. A contrastive case study based on the earnings call of an Italian company and a US company was undertaken to provide insights into how person pro-forms are used in ICT-mediated financial discourse when English is used as a common language. Text analysis software was used to descriptively analyze person pro-forms. In addition, the two datasets were manually examined to identify pragmatic functions that could shed light on interpersonal relations and participant roles. Overall, person pro-form usage was closely aligned with the distinct objectives of the participants as either ``information seekers{''} or ``information providers.{''} However, some interesting differences suggest that the Italian executives had a more interpersonal approach to the interaction compared to the American executives. This could be influenced by the importance of relationships in the Italian culture, but could also reflect strategic choices to achieve professional goals. The findings can be used to help both corporate professionals and students of management and finance acquire a better understanding of the pragmatics of person pro-forms, and thus become more effective communicators in intercultural contexts.|financial discourse; intercultural communication; pro-forms; interpersonal pragmatics; professional communication; corpus linguistics|HONG-KONG; BUSINESS; PRESENTATIONS; DISCLOSURE; ENGLISH|Linguistics; Language \& Linguistics|0|3|26
The Textual Contents of Media Reports of Information Security Breaches and Profitable Short-Term Investment Opportunities|2013|Information security-related incidents continue to make headlines. Interestingly, researchers have found mixed results when attempting to associate reports of information security breaches with changes in the affected firm's stock price. This research delves further into this puzzle by investigating the association between the textual contents of information security breach media reports and the stock price, as well as the trading volume reactions of the affected firm(s) around the breach announcement day. Our findings suggest that when the textual contents of breach reports provide more detailed information regarding the incidents, a more consistent belief is formed by the market about the negative impact of the reported security incident on the firm's business value. However, when there is a lack of specific information regarding the reported breach, the market does not seem to reach consensus on the impact of reported security incidents. We further demonstrate that different perceptions exist among general and sophisticated investors regarding the impact of reported information security incidents on a firm's future performance as demonstrated by changes in trading volume. By exploiting the different perceptions among investors, we form a trading strategy to demonstrate that, on average, one can make about 300\% annual profit around the breach announcement day.|information security; breach announcements; text mining; decision tree; sophisticated investors|DECISION-TREE INDUCTION; EARNINGS ANNOUNCEMENTS; TRADING VOLUME; MARKET LIQUIDITY; ANALYST; MANAGEMENT; PRICE; FORECASTS; SIZE; EXPECTATIONS|Computer Science, Information Systems; Computer Science, Interdisciplinary Applications|1|3|26
Aging and predicting inferences: A diffusion model analysis|2013|In the domain of discourse processing, it has been claimed that older adults (60-90-year-olds) are less likely to encode and remember some kinds of information from texts than young adults. The experiment described here shows that they do make a particular kind of inference to the same extent that college-age adults do. The inferences examined were ``predictive{''} inferences such as the inference that something bad would happen to the actress for the sentence ``The director and cameraman were ready to shoot close-ups when suddenly the actress fell from the 14th story{''} (McKoon \& Ratcliff, 1986). Participants read sentences like the actress one and then later they were asked to decide whether words that expressed an inference (e.g., ``dead{''}) had or had not appeared explicitly in a sentence. To directly compare older adults' performance to college-age adults' performance, we used a sequential sampling diffusion model (Ratcliff, 1978) to map response times and accuracy onto a single dimension of the strength with which an inference was encoded. On this dimension, there were no significant differences between the older and younger adults. (C) 2012 Elsevier Inc. All rights reserved.|Predictive inference; Aging; Diffusion model|ADULT AGE-DIFFERENCES; WORKING-MEMORY CAPACITY; SITUATION MODELS; OLDER-ADULTS; NARRATIVE COMPREHENSION; MENTAL MODELS; TIME-COURSE; BRIGHTNESS-DISCRIMINATION; LANGUAGE COMPREHENSION; ELABORATIVE INFERENCE|Linguistics; Psychology; Psychology, Experimental|9|0|26
Improved multilevel security with latent semantic indexing|2012|Multilevel security (MLS) is specifically created to protect information from unauthorized access. In MLS, documents are assigned to a security label by a trusted subject e.g. an authorized user and based on this assignment; the access to documents is allowed or denied. Using a large number of security labels lead to a complex administration in MLS based operating systems. This is because the manual assignment of documents to a large number of security labels by an authorized user is time-consuming and error-prone. Thus in practice, most MLS based operating systems use a small number of security labels. However, information that is normally processed in an organization consists of different sensitivities and belongs to different compartments. To depict this information in MLS, a large number of security labels is necessary. The aim of this paper is to show that the use of latent semantic indexing is successful in assigning textual information to security labels. This supports the authorized user by his Manual assignment. It reduces complexity by the administration of a MLS based operating system and it enables the use of a large number of security labels. In future, the findings probably will lead to an increased usage of these MLS based operating systems in organizations. (C) 2012 Elsevier Ltd. All rights reserved.|Information security; Text mining; Data protection; Decision support; Multilevel security|OPERATING CHARACTERISTIC CURVES; ACCESS-CONTROL; INFORMATION SECURITY; CUSTOMER CHURN; TEXT; SYSTEMS; CLASSIFICATION; MODELS; PREDICTION; RETRIEVAL|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|12|1|26
The Effect of Pleasure Reading on Japanese University EFL Learners' Reading Rates|2012|Few second-language (L2) reading studies have examined the relationship between reading large amounts of text and fluency, and those studies that have tend to be problematic in terms of their designs and/or analyses. In order to address this lack of empirical L2 reading fluency research, this study investigates the effects of a 1-year pleasure reading program on the reading rate development of first-year Japanese university students (N = 97). The reading rates and reading comprehension of an Intensive Reading Group and three Pleasure Reading Groups were measured at the beginning and end of the academic year. All Pleasure Reading Groups made greater gains than the Intensive Reading Group, and the two Pleasure Reading Groups that read the most made greater reading rate gains than the Pleasure Reading Group that read the least. Reading one book every 2 weeks or more was the most effective means for promoting reading rate gains for the majority of learners. An additional finding was that reading comprehension was consistently high on both the pretest and posttest; thus, the increased reading rates did not come at the expense of passage comprehension. A final finding was that reading simplified rather than unsimplified texts resulted in greater reading rate gains.|extensive reading; pleasure reading; reading fluency; reading rate; reading speed; second-language reading|COMPREHENSION; AUTOMATICITY; ACQUISITION; PERFORMANCE; FLUENCY; WORDS|Education \& Educational Research; Linguistics|27|0|26
Syntactic structure building in the anterior temporal lobe during natural story listening|2012|The neural basis of syntax is a matter of substantial debate. In particular, the inferior frontal gyrus (IFG), or Broca's area, has been prominently linked to syntactic processing, but the anterior temporal lobe has been reported to be activated instead of IFG when manipulating the presence of syntactic structure. These findings are difficult to reconcile because they rely on different laboratory tasks which tap into distinct computations, and may only indirectly relate to natural sentence processing. Here we assessed neural correlates of syntactic structure building in natural language comprehension, free from artificial task demands. Subjects passively listened to Alice in Wonderland during functional magnetic resonance imaging and we correlated brain activity with a word-by-word measure of the amount syntactic structure analyzed. Syntactic structure building correlated with activity in the left anterior temporal lobe, but there was no evidence for a correlation between syntactic structure building and activity in inferior frontal areas. Our results suggest that the anterior temporal lobe computes syntactic structure under natural conditions. (C) 2010 Elsevier Inc. All rights reserved.|Language; Neuroimaging; Syntax; aTL|FALSE DISCOVERY RATE; EVENT-RELATED FMRI; VISUAL WORD RECOGNITION; SENTENCE COMPREHENSION; WORKING-MEMORY; RELATIVE CLAUSES; AUDITORY-CORTEX; BROCAS AREA; BRAIN; FREQUENCY|Audiology \& Speech-Language Pathology; Linguistics; Neurosciences; Psychology, Experimental|49|1|26
Data Mining to Generate Adverse Drug Events Detection Rules|2011|Adverse drug events (ADEs) are a public health issue. Their detection usually relies on voluntary reporting or medical chart reviews. The objective of this paper is to automatically detect cases of ADEs by data mining. 115 447 complete past hospital stays are extracted from six French, Danish, and Bulgarian hospitals using a common data model including diagnoses, drug administrations, laboratory results, and free-text records. Different kinds of outcomes are traced, and supervised rule induction methods (decision trees and association rules) are used to discover ADE detection rules, with respect to time constraints. The rules are then filtered, validated, and reorganized by a committee of experts. The rules are described in a rule repository, and several statistics are automatically computed in every medical department, such as the confidence, relative risk, and median delay of outcome appearance. 236 validated ADE-detection rules are discovered; they enable to detect 27 different kinds of outcomes. The rules use a various number of conditions related to laboratory results, diseases, drug administration, and demographics. Some rules involve innovative conditions, such as drug discontinuations.|Adverse drug events (ADEs); data mining; decision trees; electronic health records; patient safety|PHARMACOVIGILANCE; SAFETY; MONITOR; SYSTEMS; ALERTS; ERRORS|Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Mathematical \& Computational Biology; Medical Informatics|27|1|26
Fostering metacognitive genre awareness in L2 academic reading and writing: A case study of pre-service English teachers|2011|Although the concept of metacognition has received considerable attention for its impact on learning across disciplinary areas, it has not been sufficiently discussed in the context of L2 academic reading and writing. In this paper, we bring together two theoretical frameworks, genre analysis and metacognition theory, and discuss the concept of metacognitive genre awareness. Drawing on the analysis of the data collected from a group of pre-service English teachers at a major Swedish university, we examine the process of building this awareness within ESP genre-based academic reading and writing instruction and show how it influences L2 students' ability to interpret and compose academic texts. It was found that all study participants developed declarative (what) and procedural (how) metacognitive knowledge of genre-relevant aspects of academic texts, but only a few demonstrated conditional (when and why) knowledge of the genre in their reading analyses and writing assignments. It is concluded that using a metacognition framework to study L2 academic writing provides us with new insights and practical applications for L2 instruction. (C) 2011 Elsevier Inc. All rights reserved.|L2 academic writing; L2 academic reading; Genre analysis; Metacognition; English for academic purposes|LITERACY; INSTRUCTION; TRADITIONS; FRAMEWORK; LEARNERS; ESL|Linguistics|24|4|26
Can differences in learning strategies explain the benefits of learning from static and dynamic visualizations?|2011|The effects of dynamic and static visualizations in understanding physical principles of fish locomotion were investigated. Seventy-five students were assigned to one of three conditions: a text-only, a text with dynamic visualizations, or a text with static visualizations condition. During learning, subjects were asked to think aloud. Learning outcomes were measured by tests assessing verbal factual knowledge, pictorial recall as well as transfer. Learners in the two visualization conditions outperformed those in the text-only condition for transfer and pictorial recall tasks, but not for verbal factual knowledge tasks. Analyses of the think-aloud protocols revealed that learners had generated more inferences in the visualization conditions as opposed to the text-only condition. These results were mirrored by students' self-reported processing demands. No differences were observable between the dynamic and the static condition concerning any of the learning outcome measures. However, think-aloud protocols revealed an illusion of understanding when learning with dynamic as opposed to static visualizations. Furthermore, learners with static visualizations tended to play the visualizations more often. The results stress the importance of not only using outcome-oriented, but also process-oriented approaches to gain deeper insight into learning strategies when dealing with various instructional materials. (C) 2010 Elsevier Ltd. All rights reserved.|Interactive learning environments; Media in education; Multimedia/hypermedia systems; Teaching/learning strategies|INSTRUCTIONAL-DESIGN; COGNITIVE LOAD; MULTIPLE REPRESENTATIONS; ANIMATION|Computer Science, Interdisciplinary Applications; Education \& Educational Research|34|1|26
Age/order of acquisition effects and the cumulative learning of foreign words A word training study|2011|Early acquired words are processed faster than later acquired words in lexical and semantic tasks Demonstrating such age of acquisition (AoA) effects beyond reasonable doubt and then investigating those effects empirically is complicated by the natural correlation between AoA and other word properties such as frequency and imageability In an effort to find a laboratory analog of AoA effects which would allow such issues to be addressed more easily we conducted three experiments in which participants learned foreign words with some (early) words trained from the outset while other (late) words were introduced some time later then interleaved with the early words Order of acquisition effects were observed in picture naming lexical decision and semantic categorization persisting for several weeks after the end of training The results demonstrate an important role for order of acquisition in the formation of lexical representations that is independent of other factors such as cumulative frequency frequency trajectory and imageability Analyses of cumulative learning effects offer the potential to investigate the differential impact of early and later experiences on the formation of lexical and other mental representations The discovery of order of acquisition effects in word learning also has implications for classroom teaching of second language vocabulary (C) 2010 Elsevier Inc All rights reserved|Age of acquisition; Order of acquisition; Word learning; Frequency; Cumulative frequency; Frequency trajectory; Imageability; Second language|AGE-OF-ACQUISITION; SPELLING-SOUND CONSISTENCY; AFFECTS OBJECT RECOGNITION; LEXICAL-DECISION; NAMING TIMES; RETROACTIVE INTERFERENCE; CONNECTIONIST MODELS; MEMORY CONSOLIDATION; FREQUENCY HYPOTHESIS; DISTRIBUTED PRACTICE|Linguistics; Psychology; Psychology, Experimental|27|1|26
Making words work: Using financial text as a predictor of financial events|2010|We develop a methodology for automatically analyzing text to aid in discriminating firms that encounter catastrophic financial events. The dictionaries we create from Management Discussion and Analysis Sections (MD\&A) of 10-Ks discriminate fraudulent from non-fraudulent firms 75\% of the time and bankrupt from nonbankrupt firms 80\% of the time. Our results compare favorably with quantitative prediction methods. We further test for complementarities by merging quantitative data with text data. We achieve our best prediction results for both bankruptcy (83.87\%) and fraud (81.97\%) with the combined data, showing that that the text of the MD\&A complements the quantitative financial information. (C) 2010 Elsevier B.V. All rights reserved.|Automatic text analysis; Financial event prediction; Management fraud; Bankruptcy; SVM; WordNet|DETERMINANTS; SENTIMENT; DOCUMENTS; EARNINGS; YAHOO; TALK; WEB|Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research \& Management Science|33|1|26
The use of textual, grammatical and sociolinguistic evidence in forensic text comparison|2010|This article suggests the usefulness of the concept of `idiolectal style' in forensic text comparison and presents evidence that was used by the defence in a forensic authorship attribution case to show that the author of four non-disputed faxes could also be the author of four disputed emails, both sets written in Spanish. Apart from qualitative textual analysis, two different quantitative approaches were undertaken: a) the use of the concepts of markedness and saliency in order to establish the rarity in the frequency and use of two grammatical variables - by comparing their behaviour to the one observed in a general corpus - indicated in both data sets the favourite use of two variants - redundant `yo' and compound periphrastic relative pronoun `el cual', and b) the statistical analysis of sequences of linguistic categories classified and grouped the texts in the two sets under analysis (and also the texts in a control text set from another real forensic case) very closely, showing their discriminatory potential, in particular when the sequences were bigrams, something which would lead to the conclusion that these two text sets were produced by the same author.|IDIOLECTAL STYLE; AUTHORSHIP ATTRIBUTION; FORENSIC LINGUISTICS; SOCIOLINGUISTICS; LANGUAGE CONTACT; SPANISH|AUTHORSHIP ATTRIBUTION; ATTENTION; TERMS|Criminology \& Penology; Linguistics|12|0|26
Biomedical innovation at the laboratory, clinical and commercial interface: A new method for mapping research projects, publications and patents in the field of microarrays|2008|Using the example of microarrays, one of the constitutive technologies of post-genomic biomedicine, this paper introduces a method for analyzing publications, patents and research grants as proxies for ``triple-helix interfaces{''} between university, industry and government activities. Our method creates bridges that allow one to move seamlessly between publication, patent and research project databases that use different fields and formats, and contain different information. These links do not require pre-defined categories in order to search for correspondences between sub-topics or research areas in the three databases. Finally, our results are not restricted to quantitative information but, rather, allow one to carry out qualitative investigations of the content of research activities. Our approach draws on a combination of text-mining and network analysis/mapping software packages. (C) 2008 Elsevier Ltd. All rights reserved.|Microarrays; Biomedical innovation; Triple-helix; University-industry-government relations; Publications; Patents; Research projects; Text-mining; Network analysis; Visualization|TECHNOLOGY; SCIENCE|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|10|2|26
Understanding metacognitive confidence: Insights from judgment-of-learning justifications|2017|This study employed the delayed judgment-of-learning (JOL) paradigm to investigate the content of metacognitive judgments; after studying cue-target word-pairs, participants predicted their ability to remember targets on a future memory test (cued recognition in Experiments 1 and 2 and cued recall in Experiment 3). In Experiment 1 and the confidence JOL group of Experiment 3, participants used a commonly employed 6-point numeric confidence JOL scale (0-20-40-60-80-100\%). In Experiment 2 and the binary JOL group of Experiment 3 participants first made a binary yes/no JOL prediction followed by a 3-point verbal confidence judgment (sure-maybe-guess). In all experiments, on a subset of trials, participants gave a written justification of why they gave that specific JOL response. We used natural language processing techniques (latent semantic analysis and word frequency {[}n-gram] analysis) to characterize the content of the written justifications and to capture what types of evidence evaluation uniquely separate one JOL response type from others. We also used a machine learning classification algorithm (support vector machine {[}SVM]) to quantify the extent to which any two JOL responses differed from each other. We found that: (i) participants can justify and explain their JOLs; (ii) these justifications reference cue familiarity and target accessibility and so are particularly consistent with the two-stage metacognitive model; and (iii) JOL confidence judgements do not correspond to yes/no responses in the manner typically assumed within the literature (i.e. 0-40\% interpreted as no predictions). (C) 2017 Elsevier Inc. All rights reserved.|Metacognition; Judgments-of-learning; Episodic memory; Confidence; Linguistics|SUBJECTIVE EXPERIENCE; RETRIEVAL-PROCESSES; DECISION-MAKING; CUE-FAMILIARITY; MEMORY; UNDERCONFIDENCE; ILLUSIONS; COMPETENCE; BIAS; CONSCIOUSNESS|Linguistics; Psychology; Psychology, Experimental|0|25|25
Analysis of the effect of sentiment analysis on extracting adverse drug reactions from tweets and forum posts|2016|Objective: The abundance of text available in social media and health related forums along with the rich expression of public opinion have recently attracted the interest of the public health community to use these sources for pharmacovigilance. Based on the intuition that patients post about Adverse Drug Reactions (ADRs) expressing negative sentiments, we investigate the effect of sentiment analysis features in locating ADR mentions. Methods: We enrich the feature space of a state-of-the-art ADR identification method with sentiment analysis features. Using a corpus of posts from the DailyStrength forum and tweets annotated for ADR and indication mentions, we evaluate the extent to which sentiment analysis features help in locating ADR mentions and distinguishing them from indication mentions. Results: Evaluation results show that sentiment analysis features marginally improve ADR identification in tweets and health related forum posts. Adding sentiment analysis features achieved a statistically significant F-measure increase from 72.14\% to 73.22\% in the Twitter part of an existing corpus using its original train/test split. Using stratified 10 x 10-fold cross-validation, statistically significant F-measure increases were shown in the DailyStrength part of the corpus, from 79.57\% to 80.14\%, and in the Twitter part of the corpus, from 66.91\% to 69.16\%. Moreover, sentiment analysis features are shown to reduce the number of ADRs being recognized as indications. Conclusion: This study shows that adding sentiment analysis features can marginally improve the performance of even a state-of-the-art ADR identification method. This improvement can be of use to pharmacovigilance practice, due to the rapidly increasing popularity of social media and health forums. (C) 2016 The Authors. Published by Elsevier Inc.|Adverse drug reactions; Social media; Sentiment analysis; Text mining|TWITTER; ONLINE|Computer Science, Interdisciplinary Applications; Medical Informatics|9|6|25
Understanding first-year L2 writing: A lexico-grammatical analysis across L1s, genres, and language ratings|2016|Despite a large number of studies on L2 writing at the university level, few have systematically examined the writing produced by these students within the context of their writing classes (Leki, Cumming, \& Silva, 2008; Silva, 1993). This paper investigates the language used in first-year writing across three L1s (English, Arabic, and Chinese) and two genres (Argumentative and Rhetorical Analysis) as well as its relationship to language ratings. We use a lexico-grammatical approach, identifying the vocabulary and grammar that student writers use (e.g., certain verbs that are used frequently with that complement clauses-I think that ... ) and connecting those patterns to particular functions within texts (e.g., stance and argumentation). The corpus is composed of 120 student papers evenly distributed across the three L1s and two genres. The essays were examined for eight lexico-grammatical features, including traditional measures such as type/token ratio and less typical measures (e.g., adjective-noun combinations). Experienced writing teachers rated the essays for language use in order to account for differences in language ability within the student group. Our results reveal important similarities in the use of lexico-grammatical resources across writers from the three L1 backgrounds, due to their status as developing writers. However, differences in patterns of use across the L1 groups point to variation in the expression of stance in relation to argumentation as well as methods of cohesion. Our findings also show the impact of genre on the lexico-grammatical choices of first-year writers. The results have implications for incorporating a lexico-grammatical approach to writing instruction for L2 writers. (C) 2016 Elsevier Inc. All rights reserved.|L1 Arabic; L1 Chinese; Grammatical complexity; Vocabulary; Stance; Cohesion|SYNTACTIC COMPLEXITY; LEXICAL BUNDLES; ENGLISH; LEVEL; CONSTRUCTION; DISCIPLINARY; ACQUISITION; PROFICIENCY; LEARNERS; STUDENTS|Linguistics|3|8|25
Rethinking bibliometric data concerning gender studies: a response to Soderlund and Madison|2015|Comment to the article `Characteristics of gender studies publications: A bibliometric analysis based on a Swedish population database' by Therese Soderlund and Guy Madison (Scientometrics, 2015). From the position of relevant expertise within gender studies and bibliometrics, this text offers a critique of the present study and some suggestions of alternative ways forward. It analyses (1) the object of study of the article (the terms used to denominate the field, keywords and methods to make sample selection), (2) technical issues and the question of language in relation to international citations and impact factor, and (3) the views presented in the article regarding gender studies and political ideology.|Gender studies; Knowledge production; Feminist theory; Intersectionality; Transdisciplinary|NEUROSCIENCE|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|2|4|25
